season,week,posteam,defteam,full_player_name,position,xFP_nonQB,ffpts_total_nonQB,xFP_left_short,xFP_middle_short,xFP_right_short,xFP_left_inter,xFP_middle_inter,xFP_right_inter,xFP_left_deep,xFP_middle_deep,xFP_right_deep
2019,3,BUF,CIN,TJ Yeldon,RB,0.6880373358726501,0.2,0.2,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.4183732271194458,0.7,0.7,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Giovani Bernard,RB,0.5016306042671204,0.30000000000000004,0.30000000000000004,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.496372938156128,1.3,0,0,1.3,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.44477808475494385,0.1,0,0.1,0,0,0,0,0,0,0
2019,3,BUF,CIN,John Brown,WR,1.4807789325714111,2,0,0,0,0,0,2,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.44477808475494385,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,1.4897644519805908,1.6,0,0,0,1.6,0,0,0,0,0
2019,3,BUF,CIN,John Brown,WR,1.4554426670074463,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.386391520500183,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.879733920097351,3.4000000000000004,0,0,0,0,0,0,0,3.4000000000000004,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.7585021257400513,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,John Ross,WR,1.7076106071472168,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,1.4087488651275635,1.6,0,0,0,0,0,1.6,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,1.4698282480239868,2.2,0,0,0,0,2.2,0,0,0,0
2019,3,BUF,CIN,Zay Jones,WR,2.1495556831359863,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.6697827577590942,4.2,0,0,0,0,0,0,0,0,4.2
2019,3,CIN,BUF,Tyler Boyd,WR,1.5620568990707397,2.1,0,0,0,0,0,0,2.1,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4663499593734741,0.4,0,0.4,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.45485222339630127,0.30000000000000004,0,0.30000000000000004,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.4402676820755005,1.5,0,1.5,0,0,0,0,0,0,0
2019,3,BUF,CIN,Isaiah McKenzie,WR,0.5063023567199707,0.5,0.5,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,0.4402676820755005,0.4,0,0.4,0,0,0,0,0,0,0
2019,3,BUF,CIN,Isaiah McKenzie,WR,0.4725396931171417,-0.30000000000000004,0,0,-0.30000000000000004,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.5014827847480774,1,0,0,1,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4663499593734741,0.1,0,0.1,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.5746996402740479,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,John Brown,WR,1.3874485492706299,1.3,0,0,0,1.3,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,0.9845423698425293,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.611818253993988,0.30000000000000004,0,0,0.30000000000000004,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Eifert,TE,3.5748183727264404,2.8,0,0,0,0,0,0,0,2.8,0
2019,3,BUF,CIN,Frank Gore,RB,0.45485222339630127,2.2,0,2.2,0,0,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,0.4398813247680664,0.30000000000000004,0,0.30000000000000004,0,0,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,0.5061947703361511,1,1,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Robert Foster,WR,2.540567398071289,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,1.44482421875,1,1,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,1.5582599639892578,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4912150502204895,1.4000000000000001,0,0,1.4000000000000001,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,2.2020134925842285,2.5,0,0,0,0,0,0,0,2.5,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4854527711868286,-0.1,0,0,-0.1,0,0,0,0,0,0
2019,3,CIN,BUF,John Ross,WR,1.5746996402740479,2.5,0,0,0,0,0,0,2.5,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.372406244277954,1.7000000000000002,0,0,0,1.7000000000000002,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4902227818965912,-0.1,-0.1,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.4107396602630615,2.1,0,0,0,2.1,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.2906458377838135,1.8,0,0,1.8,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.5858503580093384,0.1,0,0.1,0,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.7116089463233948,1.2000000000000002,1.2000000000000002,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,2.518829107284546,7.1,0,0,0,0,0,7.1,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.49453669786453247,0.9,0.9,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.4725396931171417,0.2,0,0,0.2,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.4452822208404541,0.1,0,0.1,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,0.9536647796630859,1.4,0,0,0,0,0,1.4,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.46694186329841614,0.1,0.1,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,John Ross,WR,1.5637621879577637,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.6830408573150635,3.6,0,0,0,0,0,0,0,0,3.6
2019,3,CIN,BUF,Joe Mixon,RB,0.4967323839664459,-0.2,0,0,-0.2,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,1.4510092735290527,4.300000000000001,4.300000000000001,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Giovani Bernard,RB,0.5289809107780457,0.4,0,0,0.4,0,0,0,0,0,0
2019,3,CIN,BUF,Giovani Bernard,RB,0.43019360303878784,-0.2,0,-0.2,0,0,0,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.4910640716552734,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,1.3697199821472168,1.7000000000000002,0,0,0,1.7000000000000002,0,0,0,0,0
